col0 col1 col2
3000.0 nan nan
3000.6 nan nan
3001.2 nan nan
3001.7999999999997 nan nan
3002.3999999999996 nan nan
3002.9999999999995 nan nan
3003.5999999999995 nan nan
3004.1999999999994 nan nan
3004.7999999999993 nan nan
3005.399999999999 nan nan
3005.999999999999 nan nan
3006.599999999999 nan nan
3007.199999999999 nan nan
3007.799999999999 nan nan
3008.3999999999987 nan nan
3008.9999999999986 nan nan
3009.5999999999985 nan nan
3010.1999999999985 nan nan
3010.7999999999984 nan nan
3011.3999999999983 nan nan
3011.999999999998 nan nan
3012.599999999998 nan nan
3013.199999999998 nan nan
3013.799999999998 nan nan
3014.399999999998 nan nan
3014.9999999999977 nan nan
3015.5999999999976 nan nan
3016.1999999999975 nan nan
3016.7999999999975 nan nan
3017.3999999999974 nan nan
3017.9999999999973 nan nan
3018.599999999997 nan nan
3019.199999999997 nan nan
3019.799999999997 nan nan
3020.399999999997 nan nan
3020.999999999997 nan nan
3021.5999999999967 nan nan
3022.1999999999966 nan nan
3022.7999999999965 nan nan
3023.3999999999965 nan nan
3023.9999999999964 nan nan
3024.5999999999963 nan nan
3025.199999999996 nan nan
3025.799999999996 nan nan
3026.399999999996 nan nan
3026.999999999996 nan nan
3027.599999999996 nan nan
3028.1999999999957 nan nan
3028.7999999999956 nan nan
3029.3999999999955 nan nan
3029.9999999999955 nan nan
3030.5999999999954 nan nan
3031.1999999999953 nan nan
3031.799999999995 nan nan
3032.399999999995 nan nan
3032.999999999995 nan nan
3033.599999999995 nan nan
3034.199999999995 nan nan
3034.7999999999947 nan nan
3035.3999999999946 nan nan
3035.9999999999945 nan nan
3036.5999999999945 nan nan
3037.1999999999944 nan nan
3037.7999999999943 nan nan
3038.399999999994 nan nan
3038.999999999994 nan nan
3039.599999999994 nan nan
3040.199999999994 nan nan
3040.799999999994 nan nan
3041.3999999999937 nan nan
3041.9999999999936 nan nan
3042.5999999999935 nan nan
3043.1999999999935 nan nan
3043.7999999999934 nan nan
3044.3999999999933 nan nan
3044.999999999993 nan nan
3045.599999999993 nan nan
3046.199999999993 nan nan
3046.799999999993 nan nan
3047.399999999993 nan nan
3047.9999999999927 nan nan
3048.5999999999926 nan nan
3049.1999999999925 nan nan
3049.7999999999925 nan nan
3050.3999999999924 nan nan
3050.9999999999923 nan nan
3051.599999999992 nan nan
3052.199999999992 nan nan
3052.799999999992 nan nan
3053.399999999992 nan nan
3053.999999999992 nan nan
3054.5999999999917 nan nan
3055.1999999999916 nan nan
3055.7999999999915 nan nan
3056.3999999999915 nan nan
3056.9999999999914 nan nan
3057.5999999999913 nan nan
3058.199999999991 nan nan
3058.799999999991 nan nan
3059.399999999991 nan nan
3059.999999999991 nan nan
3060.599999999991 nan nan
3061.1999999999907 nan nan
3061.7999999999906 nan nan
3062.3999999999905 nan nan
3062.9999999999905 nan nan
